book_id,composite_id,original_entry,parsing_confidence,needs_review,verification_notes,topic_changed,price_changed,batch_id,created_at
40,fremdsprachige_420_17_39,"GONGORA Y ARGOTE, Luis de. Soledades. A.d.Span. von Erich Arendt. Herausgegeben von Karlheinz Barck. Mit Reproduktionen nach den elf Lithographin von Hermann Naumann. Leipzig Reclam 1973. 161 S. OLn.m.OU. Sehr gut erhalten",high,f,Minor typo in original: 'Lithographin' should be 'Lithographien',f,f,,2026-01-26 19:56:38.614712
41,fremdsprachige_472_19_39,"HUNDHAUSEN, Vinzenz. Chinesische Dichter in deutscher Sprache. Mit 2 Bildern nach Originalen des Wang Ting-Dsche. Pekinger Verlag 1926. 149 S. OLn. Schöner Band.",high,f,,f,f,,2026-01-26 19:56:38.614712
42,bibliophile_92_4_9,"JOYCE, James. Ulysses. Erster und zweiter Band. Vom Verfasser autorisierte Übersetzung von Georg Goyert. Zürich Rhein-Verlag o.J. 5. Ausgabe. 463, 413 S. OLn.m.OU. Sehr gut erhalten.",high,f,,t,f,,2026-01-26 19:56:38.614712
43,bibliophile_93_4_9,"JOYCE, James. Ulysses. 3. Auflage. Vom Verfasser geprüfte definitive deutsche Ausgabe von Georg Goyert. Titel und Einband von E. Preetorius. 2 Bände. Zürich Rhein-Verlag 1930. 631. 611 S. OLn. m. dreifachem Buntschnitt und marmor. Vorsätzen. Sehr gut erhalten.",high,f,,t,t,,2026-01-26 19:56:38.614712
44,fremdsprachige_588_24_39,"MARLOWE, Christopher. Sämtliche Dramen. Ins Deutsche übertragen und heraujsgegeben von Wolfgang Schlüter. Berlin Eichborn 1999. 539 S. OLn. Mit Widmung. OLn. m. Lesebändchen. Sehr gut erhalten.",high,f,Typo detected: 'heraujsgegeben' should be 'herausgegeben',f,f,,2026-01-26 19:56:38.614712
45,fremdsprachige_623_25_39,"MIRZA SCHAFFY. Die Lieder des Mirza Schaffy mit einem Prolog von Friedrich Bodenstedt. 241.-250 Tausend Berlin Becker´s Verlag 1902. XXIV, 199 S. Jede Seite mit üppigem Buchschmuck OLdr.m.Lesebändchen, Goldschnitt und Gold-aufdruck. Berieben.",high,f,"This appears to be Friedrich Bodenstedt's famous German adaptation/translation of Persian poetry attributed to Mirza Schaffy, which was very popular in 19th century Germany",f,f,,2026-01-26 19:56:38.614712
46,fremdsprachige_675_28_39,"OSSIAN. Neuaufgefundene Gedichte Ossians. A. d. Englischen. Mit erläuternden Anmerkungen, und einer Abhandlung über die Werke dieses celtischen Barden. Frankfurt und Leipzig, 1792. (12) 255 S. (A.d.Engl. mit Anmerkungen v. Christoph Heinrich Pfaff). OLn. Sehr gut erhalten.",high,f,"Ossian refers to the legendary Gaelic bard whose poems were published by James Macpherson in the 18th century, which were later discovered to be largely fabricated. This appears to be a German translation of additional 'discovered' Ossian poems.",f,f,,2026-01-26 19:56:38.614712
47,fremdsprachige_697_28_39,PESSOAS LISSABON. Eine fotografische Erzählung mit Texten von Fernando Pessoa. Von Tina Deininger und Gerhard Jaugstetter. Nachwort von Jan Lerch. Cadolzburg Ars Vivendi 1997. 127 S. OLn.m.OU. Verlagsfrisch,high,f,,f,f,,2026-01-26 19:56:38.614712
48,fremdsprachige_699_28_39,"PETRARCA, Francesco. Die Triumphe. Auf das Leben und den Tod von Monna Laura. Deutsch von Benno Geiger. Wien Phaidon-Verlag 1935. Mit Abb. aus 1499. 109 S. OLn.m.OU.",high,f,,f,f,,2026-01-26 19:56:38.614712
49,fremdsprachige_715_29_39,"POTOCKI, Jan. Die Handschriften von Saragossa oder Die Abenteuer in der Sierra Morena. Roman. Herausgegeben von Leszek Kukulski. Aus dem Französischen und mit Anmerkungen von Werner Creutziger. Berlin Aufbau-Verlag 2005. 923 S. OPbd.m.Lesebändchen.",high,f,,f,t,,2026-01-26 19:56:38.614712
50,fremdsprachige_717_29_39,"POTOCKI, Jan Graf. Die Handschrift von Saragossa. Roman. A.d.Französ. von Manfred Zander. Mit einem Nachwort von Rene Radrizzani. Zürich Kain & Aber 2003. 959 S. OLn.m.OU und Lesebändchen.",high,f,,f,t,,2026-01-26 19:56:38.614712
51,fremdsprachige_718_29_39,"POTOCKI, Jan Graf. Die Handschrift von Saragossa oder Die Abenteuer in der Sierra Morena. Roman. Herausgegeben und mit einem Nachwort von Leszek Kukulski. Aus dem Französ. übersetzt und mit Anmerkungen von Werner Creutziger. Frankfurt Haffmans bei Zweitausendeins 2004. 957 S. Mit zahlr. Vignetten. Lesebändchen. OLn.m.OU. Verlagsfrisch",high,f,,f,f,,2026-01-26 19:56:38.614712
52,fremdsprachige_744_30_39,REJTE POMERANZEN. Ostjüdische Schwänke und Erzählungen. Gesammelt von Immanuel Olsvanger. Berlin Schocken Verlag 1935. 77 S. OPbd. In Jiddisch.,high,f,,f,f,,2026-01-26 19:56:38.614712
53,fremdsprachige_777_32_39,"SADE, Marquis de. Die Philosophie im Boudoir. Deutsch von Rolf und Hedda Soellner. Zeichnungen von Sibylle Ruppert. Einführung Guillaume Apollinaire. Nachwort Jacques Lacan. München Rogner & Bernhard 1972. 362 S. Einmalige Auflage von 2000 Ex. OLn.u.OSchuber.",high,f,,f,t,,2026-01-26 19:56:38.614712
54,fremdsprachige_811_33_39,SCHOLEM ALEJCHEM. Schir-ha-Schirim. Lied der Lieder. Roman einer Jugend. A.d.Jiddisschen von Jürgen Rennert. Nachwort von Hans Marquart. Frankfurt Suhrkamp 1985. 131 S. OPbd.m.OU. Bibliothek Suhrkamp 892.,high,f,"Author name appears to be Sholem Aleichem (standard transliteration), not 'Scholem Alejchem' - possible variant transliteration or cataloging error",f,f,,2026-01-26 19:56:38.614712
55,fremdsprachige_846_34_39,"STEIN, Gertrude. Die Welt ist rund. Mit Fragmenten aus Werkzeichnungen von Franz Erhard Walther. Erstübersetzung aus dem Amerikanischen von Michael Mundhenk. Klagenfurt Ritter 1994. 88 S. OPbd.",high,f,,f,t,,2026-01-26 19:56:38.614712
56,fremdsprachige_927_38_39,"VILLON, Francois. Das Grosse Testament. Vollständige zweisprachige Ausgabe aus dem Französischen übertragen von Walter Widmer .Wiedergabe zeitgenössischer Holzschnitte. München Winkler 1967. 243 S. OLn.in Schuber. Verlagsfrisch",high,f,Author name spelling: 'Francois' should be 'François' with cedilla,f,f,,2026-01-26 19:56:38.614712
57,fremdsprachige_0_1_39,ALAIN-FOURNIER. Jugendbildnis. Briefe. Berlin Suhrkamp o.J. 211 S. OPbd. m. OU. Neuwertig. Band XXIII Bibliothek Suhrkam,medium,f,Publisher name appears to have typo at end: 'Bibliothek Suhrkam' should likely be 'Bibliothek Suhrkamp',f,t,,2026-01-26 19:56:38.614712
58,fremdsprachige_1_1_39,ALT-PRAGER GESCHICHTEN. Gesammelt von Peter Demetz. Mit Illustrationen von Hugo Steiner-Prag. Frankfurt Insel 1982. 284. it 613,high,f,,f,f,,2026-01-26 19:56:38.614712
59,fremdsprachige_2_1_39,"AMADIS VON GALLIEN. Nach alten Chroniken überarbeitet, erweitert und verbessert durch Garci Ordonez de Montalvo im Jahre 1508. Herausgegeben und übersetzt von Fritz Rudolf Fries. Leipzig Insel 1973. 765 S. OLn.m.OU.",high,f,,f,f,,2026-01-26 19:56:38.614712
60,fremdsprachige_3_1_39,"ANDERSEN, H.C.. Gesammelte Märchen. Illustriert von Vilhelm Pedersen und Lorenz Fröhlich. Nachwort von Martin Bodmer. Herausgegeben und zum Teil neu übersetzt von Fl. Storrer-Madelung. In zwei Bänden. Zürich Manesse o.J. 647, 646 S. OLn.m.OU.",high,f,,f,t,,2026-01-26 19:56:38.614712
61,fremdsprachige_4_1_39,"ANDERSEN, Hans Christian. Die frühen Reisebücher…A.d.Dän. Hanau Müller&Kiepenheuer 1984. 376 S. Werke in Einzelausgaben. OLn.m.OU Verlagsfrisch",high,f,,f,f,,2026-01-26 19:56:38.614712
62,fremdsprachige_5_1_39,"ANDERSEN, Hans Christian. Reisebilder aus Schweden und England…A.d.Dän. Hanau Müller&Kiepenheuer 1985. 233 S. Werke in Einzelausgaben. OLn.OU. Verlagsfrisch.",high,f,,f,f,,2026-01-26 19:56:38.614712
63,fremdsprachige_6_1_39,"ANDERSEN, Hans Christian. Reisebilder aus Spanien und Portugal. Hanau Müller&Kiepenheuer 1988. 406 S. Werke in Einzelausgaben. OLn.m.OU Verlagsfrisch.",high,f,,f,f,,2026-01-26 19:56:38.614712
64,fremdsprachige_7_1_39,"ANDERSEN, Hans Christian. Meines Lebens Märchen. A.d.Dän. Hanau Müller&Kiepenheuer 1990. 752 S. Werke in Einzelausgaben. OLn.m.OU Verlagsfrisch",high,f,,f,f,,2026-01-26 19:56:38.614712
65,fremdsprachige_8_1_39,"ANDERSEN, Hans Christian. Eines Dichters Basar…A.d.Dän. Hanau Müller&Kiepenheuer 1973. 522 S. Werke in Einzelausgaben. OOn.m.OU Verlagsfrisch",high,f,,f,f,,2026-01-26 19:56:38.614712
66,fremdsprachige_9_1_39,"ANDRIC, Ivo. Die Novellen. Wien Luser Verlag 1939. A.d.Serbokroat. von Alois Schmaus. Dt.EA. OLn.",high,f,Author name appears correct - Ivo Andrić was a Yugoslav/Serbian writer and Nobel Prize winner. Publisher 'Luser Verlag' should be verified as it's less commonly known.,f,f,,2026-01-26 19:56:38.614712
67,fremdsprachige_10_1_39,"ANDRIC, Ivo. Der verdammte Hof. Erzählung. A.d.Serb. v. Milo Dor und Reinhard Federmann. Frankfurt Suhrkamp 1957. 173 S. OPbd.m.OU. BS 38.",high,f,,f,f,,2026-01-26 19:56:38.614712
68,fremdsprachige_11_1_39,"ANDRIC, Ivo. Die Brücke über die Drina. A.d.Serb. von Ernst E.Jonas. 413 S. Jahrhundert-Edition",medium,f,Author name appears to be Andrić (with diacritic) - Nobel Prize winner. Famous novel 'Na Drini ćuprija' translated as 'Die Brücke über die Drina'.,f,f,,2026-01-26 19:56:38.614712
69,fremdsprachige_13_1_39,"ANDRUCHOWYTSCH, Juri. Engel und Dämonen der Peripherie. Essays. Frankfurt Suhrkamp 2007. 217 S. es 2513.",high,f,,f,f,,2026-01-26 19:56:38.614712
70,fremdsprachige_14_1_39,"ANDRZEJEWSKI, Jerzy. Asche und Diamant. Roman. München Langen Müller 1960. 317 S. OLn.m.OU.",high,f,,f,f,,2026-01-26 19:56:38.614712
71,fremdsprachige_15_1_39,"ANOUILH, Jean. Becket oder die Ehre Gottes. Schauspiel in vier Akten. München Langen Müller 119 S. OPbd",high,f,,f,f,,2026-01-26 19:56:38.614712
72,fremdsprachige_16_1_39,"APOLLINAIRE, Guillaume. Alkohol. Gedichte französisch-deutsch. A.d.Französ. v. Johannes Hübner und Lothar Klünner. Mit einem Vorwort von Gerd Henniger. Darmstadt Luchterhand 1976. 161 S. OBrosch. Sammlung Luchterhand. 2. Ex. 2. A. 1980. Selten! Pro Band",high,f,,f,t,,2026-01-26 19:56:38.614712
73,fremdsprachige_17_1_39,"APOLLINAIRE, Guillaume. Die elftausend Ruten. Mit Zeichnungen von Michael Wyss und mit Essays von Elisabeth Lenk, Louis Aragon und Pascal Pia. Deutsch von Rudolf Wittkopf. München Matthes & Seitz 1985. 222 S. OLn.m.OU.",high,f,,f,f,,2026-01-26 19:56:38.614712
74,fremdsprachige_19_1_39,"APOLLINAIRE, Guillaume. Die Glücksritterin und andere Erzählungen. A.d.Französ Mit einem Nachwort von Jürgen Grimm. München DTV 1993. 210 S. Studio dtv. TB",high,f,,f,f,,2026-01-26 19:56:38.614712
75,fremdsprachige_20_1_39,"APOLLINAIRE, Guillaume. Erzketzer & Co. A.d.Französ. von Hans Till. Heidelberg Wunderhorn 2003. 237 S OLn. Neuwertig..-",high,f,,f,f,,2026-01-26 19:56:38.614712
76,fremdsprachige_21_1_39,"APOLLINAIRE, Guillaume. Der gemordete Dichter. München DTV 1968. 166 S. sonderreihe dtv",high,f,,f,f,,2026-01-26 19:56:38.614712
77,fremdsprachige_22_1_39,APULEIUS VON MADAURA. Der goldene Esel. Aus dem Lateinischen übersetzt von August Rode. Berlin Propyläen Verlag 1920. 310 S. OPbd. mit goldgeprägtem Rücken. Rücken mit kleinen Schäden.,high,f,,f,t,,2026-01-26 19:56:38.614712
78,fremdsprachige_23_1_39,"ARAGON, Louis. Pariser Landleben. Le Paysan de Paris. Deutsch von Rudolf Wittkopf. Nachwort von Elisabeth Lenk. München Rogner & Bernhard 1969. 274 S. OLn.m.OU",high,f,,f,f,,2026-01-26 19:56:38.614712
79,fremdsprachige_24_1_39,"ARAGON, Louis. Anicet oder das Panorama. Roman. München Heyne 1980. 206 S. A.d.Französ. Das besondere Taschenbuch.",high,f,,f,f,,2026-01-26 19:56:38.614712
80,fremdsprachige_25_2_39,"ARAGON, Louis. Aurelien. Deutsch von Lydia Babilas. 717 S. Jahrhundert-Edition",medium,f,,f,f,,2026-01-26 19:56:38.614712
81,fremdsprachige_26_2_39,"ARENDT, Hannah. Das private Adressbuch 1951 – 1975. Herausgegeben und kommentiert von Christine Fischer-Defoy.. Leipzig Koehler & Amelang 2007. 240 S. OPbd.",high,f,,f,f,,2026-01-26 19:56:38.614712
82,fremdsprachige_27_2_39,"ASCH, Schalom. Warschau. Roman. Übertragung von Siegfried Schmitz. Berlin Zsolnay 1930. OPbd. Berieben. Dt.EA.",high,f,,f,f,,2026-01-26 19:56:38.614712
83,fremdsprachige_28_2_39,"ASCH, Schalom. Mottke der Dieb. Roman. Deutsch von Georg Richter und Siegfried Schmitz Zürich Zsolnay 1929. 395 S. OLn.m.Lesebändchen. Dt. EA. 2. Ex.",high,f,,f,f,,2026-01-26 19:56:38.614712
84,fremdsprachige_29_2_39,"ASCH, Schalom. Petersburg. Roman. Übertragen von Siegfried Schmitz Berlin Zsolnay 1929. OLn. Etwas berieben. 2.Ex. TB.",high,f,,f,f,,2026-01-26 19:56:38.614712
85,fremdsprachige_30_2_39,"ASTURIAS, Miguel Angel. Der Böse Schächer. Roman. A.d.Span und mit einem Nachwort und Anmerkungen von Ulrich Kunzmann. Frankfurt Suhrkamp 1981. 306 S. OPbd.m.OU. BS 741. Dt. EA",high,f,,f,f,,2026-01-26 19:56:38.614712
86,fremdsprachige_31_2_39,"ASTURIAS, Miguel Angel. Legenden aus Guatemala. Erweiterte Neuausgabe. Vorwort von Paul Valery. Illustrationen nach alten indianischen Motiven. Deutsch von Fritz Vogelgsang. Frankfurt Suhrkamp 1979. 135 S. Bibliothek Suhrkamp 358.",high,f,"Miguel Ángel Asturias is a known Guatemalan author and Nobel Prize winner, publisher Suhrkamp is correct, series number 358 matches Bibliothek Suhrkamp format",f,f,,2026-01-26 19:56:38.614712
87,fremdsprachige_32_2_39,"AUB, Max. Bittere Mandeln. A.d.Span. Herausgegeben und kommentiert von Mercedes Figueras. Berlin Eichborn 2003. 813 S. OLn.m.OU und Lesebändchen. Neuwertig.",high,f,,f,t,,2026-01-26 19:56:38.614712
88,fremdsprachige_34_2_39,"AUDEN, W.H.. Poems. Kirchstettner Gedichte 1958-1973. A.d.Engl. von Johannes W. Paul. St.Pölten Niederösterreichisches Pressehaus 1983. 359 S. Englisch und Deutsch. OPbd. EA.",high,f,,f,t,,2026-01-26 19:56:38.614712
89,fremdsprachige_35_2_39,"AUGUSTINUS. Die Bekenntnisse. Übersetzt, eingeleitet und mit Anmerkungen versehen von Otto F. Lachmann. Leipzig Reclam (1888) 440 S. und Verzeichnis der Reclam Bibliothek 31 S. OLn.",high,f,,f,f,,2026-01-26 19:56:38.614712
90,fremdsprachige_36_2_39,"AUSTEN, Jane. Die Abtei von Northanger. A.d.Engl. von Margarete Rauchenberger. Mit Illustrationen von Hugh Thomson. Frankfurt Insel 1986. 253 S. it 931",high,f,,f,f,,2026-01-26 19:56:38.614712
91,fremdsprachige_37_2_39,"AUSTEN, Jane. Emma. Roman. A.d.Engl. von Charlotte Gräfin von Klinckowstroem. Mit Illustrationen von Hugh Thomson. Frankfurt Insel 1980. 548 S. it 511",high,f,,f,f,,2026-01-26 19:56:38.614712
92,fremdsprachige_38_2_39,"AUSTEN, Jane. Verstand und Gefühl. A.d.Engl. von Angelika Beck. Mit Illustrationen von Hugh Thomson. Frankfurt Insel 1994. 449 S. it 1615",high,f,,f,f,,2026-01-26 19:56:38.614712
93,fremdsprachige_39_2_39,"AUSTEN, Jane. Stolz und Vorurteil. Roman. A.d.Engl. von Ilse Krämer. Nachwort von Mary Hottinger. Zürich Manesse 1985. 523 S. OLn.m.Ou und Lesebändchen. Verlagsfrisch",high,f,,f,t,,2026-01-26 19:56:38.614712
